sn,symbol,ltp,point change,change,open,high,low,volume,close
71,GRDBL,318.50,-12.80,-3.86,337.00,337.00,317.30,"1,920.00",331.30
72,GUFL,525.00,-9.00,-1.69,525.00,540.00,522.40,"18,700.00",534.00
73,GVL,435.00,5.00,1.16,435.00,443.00,422.00,"58,410.00",430.00
74,HATHY,955.00,-35.00,-3.54,970.20,985.00,932.00,"207,302.00",990.00
75,HBL,201.00,-8.00,-3.83,209.00,209.00,201.00,"46,539.00",209.00
76,HBLD86,960.30,-3.70,-0.38,957.50,976.00,957.50,50.00,964.00
77,HBLPO,200.90,-21.00,-9.46,217.50,217.50,200.90,50.00,221.90
78,HDHPC,144.00,-3.10,-2.11,149.00,153.00,143.60,"401,311.00",147.10
79,HDL,"1,715.00",-15.00,-0.87,"1,764.00","1,764.00","1,715.00","20,526.00","1,730.00"
80,HEI,640.20,-1.80,-0.28,640.00,652.00,637.00,"49,197.00",642.00
81,HEIP,380.10,0.80,0.21,386.80,402.30,380.10,590.00,379.30
82,HHL,319.00,-14.10,-4.23,327.00,338.00,319.00,"44,659.00",333.10
83,HIDCL,182.30,-1.70,-0.92,187.60,191.10,182.00,"113,064.00",184.00
84,HIDCLP,100.90,-1.20,-1.18,103.00,103.00,100.20,"183,360.00",102.10
85,HLBSL,559.00,-4.00,-0.71,574.00,574.00,549.00,"10,579.00",563.00
86,HLI,408.00,-12.40,-2.95,412.00,417.00,404.00,"140,288.00",420.40
87,HPPL,238.00,1.00,0.42,241.70,245.00,234.10,"23,217.00",237.00
88,HURJA,266.80,3.60,1.37,268.40,277.00,260.00,"92,863.00",263.20
89,ICFC,459.50,-4.40,-0.95,473.00,473.00,455.00,"18,742.00",463.90
90,IGI,546.00,-6.00,-1.09,552.00,558.00,542.00,"41,334.00",552.00
91,IHL,296.00,-2.00,-0.67,303.00,309.00,296.00,"32,140.00",298.00
92,ILBS,616.00,-9.30,-1.49,614.10,635.00,614.10,"4,407.00",625.30
93,ILI,532.00,-22.00,-3.97,547.00,547.10,532.00,"130,445.00",554.00
94,JALPA,"1,095.00",-17.30,-1.56,"1,092.10","1,118.00","1,090.00",431.00,"1,112.30"
95,JBBL,285.00,-3.50,-1.21,287.00,292.90,285.00,"38,264.00",288.50
96,JBLB,"1,334.00",-31.00,-2.27,"1,360.00","1,365.00","1,328.00","4,477.00","1,365.00"
97,JFL,346.20,5.20,1.52,334.20,363.00,334.20,"14,016.00",341.00
98,JOSHI,217.00,3.00,1.40,215.10,226.00,212.10,"31,629.00",214.00
99,JSLBB,868.90,-17.50,-1.97,868.70,868.90,848.00,"1,267.00",886.40
100,KBL,155.00,-2.90,-1.84,160.00,160.00,154.10,"145,702.00",157.90
101,KBSH,878.00,-17.00,-1.90,900.00,905.00,867.10,"3,580.00",895.00
102,KDBY,9.00,0.01,0.11,8.82,9.20,8.70,"36,390.00",8.99
103,KDL,849.90,-14.10,-1.63,851.00,864.00,843.10,"4,788.00",864.00
104,KEF,8.47,0.39,4.83,7.92,8.64,7.66,"18,655.00",8.08
105,KKHC,213.00,1.00,0.47,216.20,217.00,210.10,"14,059.00",212.00
106,KLBSL,770.30,-5.70,-0.73,761.30,777.00,761.30,638.00,776.00
107,KMCDB,629.00,10.00,1.62,625.00,629.00,612.50,"3,020.00",619.00
108,KPCL,393.00,15.70,4.16,384.00,410.00,365.50,"37,967.00",377.30
109,KRBL,323.00,-2.50,-0.77,324.50,326.50,320.00,"16,893.00",325.50
110,KSBBL,316.00,-4.00,-1.25,317.00,323.00,315.10,"32,693.00",320.00
111,LBBL,378.00,-5.40,-1.41,389.80,389.80,375.80,"24,487.00",383.40
112,LBLD88,797.90,30.90,4.03,782.30,797.90,782.30,25.00,767.00
113,LEC,180.00,-2.70,-1.48,183.00,187.90,178.40,"163,703.00",182.70
114,LEMF,8.89,-0.01,-0.11,8.73,8.91,8.73,"92,799.00",8.90
115,LICN,"1,399.00",-1.00,-0.07,"1,400.00","1,400.00","1,387.00","4,148.00","1,400.00"
116,LLBS,750.00,9.10,1.23,752.00,752.00,706.00,"3,236.00",740.90
117,LSL,170.00,-7.00,-3.95,176.00,177.00,170.00,"84,360.00",177.00
118,LUK,8.30,0.00,0.00,8.20,8.31,8.20,"4,650.00",8.30
119,LVF2,8.35,0.17,2.08,8.18,8.35,8.03,"6,215.00",8.18
120,MAKAR,314.00,5.00,1.62,315.00,323.00,306.00,"57,451.00",309.00
121,MANDU,795.60,20.60,2.66,782.00,805.80,745.00,"46,744.00",775.00
122,MBJC,309.00,5.90,1.95,305.00,321.00,300.00,"70,190.00",303.10
123,MBL,192.00,-2.60,-1.34,195.00,195.90,191.30,"48,876.00",194.60
124,MCHL,320.00,-6.20,-1.90,326.00,339.00,308.70,"40,195.00",326.20
125,MDB,385.00,-5.00,-1.28,394.90,395.00,383.00,"5,328.00",390.00
126,MEHL,287.90,-11.10,-3.71,302.00,304.00,285.00,"43,733.00",299.00
127,MEL,212.00,9.00,4.43,207.00,218.20,200.00,"221,098.00",203.00
128,MEN,686.30,6.30,0.93,693.60,728.00,680.00,"226,472.00",680.00
129,MERO,545.00,0.00,0.00,540.00,555.90,531.00,"7,723.00",545.00
130,MFIL,512.00,-6.00,-1.16,518.10,521.00,511.00,"22,426.00",518.00
131,MHCL,440.00,14.00,3.29,434.00,440.00,402.00,"82,534.00",426.00
132,MHL,408.20,-1.16,-0.28,417.50,425.00,406.10,"24,586.00",409.36
133,MHNL,235.50,4.40,1.90,227.30,241.50,227.30,"41,164.00",231.10
134,MKCL,677.30,61.50,9.99,628.10,677.30,628.10,"3,461.00",615.80
135,MKHC,267.00,2.10,0.79,270.00,279.00,265.00,"60,756.00",264.90
136,MKHL,338.90,-8.20,-2.36,352.90,358.90,335.00,"31,707.00",347.10
137,MKJC,429.00,-9.00,-2.05,446.70,450.00,429.00,"5,680.00",438.00
138,MKLB,610.10,-6.00,-0.97,605.20,650.60,605.20,573.00,616.10
139,MLBBL,770.00,-28.00,-3.51,782.10,782.20,755.00,756.00,798.00
140,MLBL,310.00,-7.00,-2.21,323.30,323.30,308.30,"33,819.00",317.00
141,MLBS,710.10,-50.90,-6.69,747.00,747.00,710.00,"2,118.00",761.00
142,MLBSL,"1,875.00",-32.00,-1.68,"1,880.00","1,907.00","1,875.00","1,161.00","1,907.00"
143,MMF1,7.38,-0.42,-5.38,7.65,7.80,7.27,"32,670.00",7.80
144,MMFDB,571.30,19.30,3.50,563.00,580.00,555.00,"16,917.00",552.00
145,MMKJL,384.00,34.00,9.71,344.40,385.00,344.20,"46,818.00",350.00
146,MNBBL,369.00,-5.00,-1.34,379.00,379.00,369.00,"30,699.00",374.00
147,MPFL,321.40,-4.60,-1.41,329.00,330.00,320.00,"11,093.00",326.00
148,MSHL,501.20,-5.80,-1.14,497.00,528.40,497.00,"6,514.00",507.00
149,MSLB,810.00,-3.00,-0.37,813.00,813.00,796.00,"2,096.00",813.00
150,NABBC,415.70,19.60,4.95,404.00,435.70,404.00,"56,306.00",396.10
151,NABIL,490.00,-5.50,-1.11,500.00,500.00,489.50,"97,677.00",495.50
152,NADEP,520.00,-5.00,-0.95,525.00,525.00,515.10,"5,246.00",525.00
153,NBF2,8.15,-0.15,-1.81,8.20,8.25,8.09,"9,924.00",8.30
154,NBF3,7.49,0.10,1.35,7.25,7.54,7.20,"54,935.00",7.39
155,NBL,235.00,-1.20,-0.51,239.00,239.00,233.00,"95,197.00",236.20
156,NBLD85,885.00,33.30,3.91,868.00,885.00,868.00,20.00,851.70
157,NBLD87,850.00,0.00,0.00,867.00,867.00,850.00,150.00,850.00
158,NESDO,"1,651.30",6.30,0.38,"1,676.90","1,701.00","1,650.00","2,496.00","1,645.00"
159,NFS,305.00,-3.00,-0.97,303.00,313.50,303.00,"15,326.00",308.00
160,NGPL,231.00,10.50,4.76,223.00,236.50,222.00,"308,245.00",220.50
161,NHDL,427.00,38.00,9.77,396.60,427.90,383.00,"122,934.00",389.00
162,NHPC,158.00,-3.90,-2.41,165.00,166.00,158.00,"193,363.00",161.90
163,NIBD2082,"1,024.00",23.00,2.30,"1,005.00","1,025.00","1,005.00",360.00,"1,001.00"
164,NIBD84,862.00,0.00,0.00,862.00,862.00,862.00,25.00,862.00
165,NIBLGF,8.11,0.01,0.12,8.26,8.26,8.11,"3,950.00",8.10
166,NIBLPF,9.34,0.14,1.52,9.37,9.37,9.03,"79,812.00",9.20
167,NIBSF2,7.30,-0.20,-2.67,7.50,7.50,7.22,"6,240.00",7.50
168,NICA,499.00,-11.90,-2.33,510.00,510.00,498.00,"111,777.00",510.90
169,NICAD8283,"1,036.00",0.00,0.00,"1,036.00","1,036.00","1,036.00",9.00,"1,036.00"
170,NICBF,8.90,-0.07,-0.78,8.90,8.90,8.90,"16,800.00",8.97
171,NICFC,9.20,-0.05,-0.54,9.10,9.20,9.10,"100,100.00",9.25
172,NICGF,9.25,0.00,0.00,9.20,9.30,9.20,"47,125.00",9.25
173,NICL,936.00,-3.00,-0.32,952.00,960.00,936.00,"80,828.00",939.00
174,NICLBSL,610.00,-10.00,-1.61,610.00,612.00,601.00,"13,112.00",620.00
175,NICSF,8.93,-0.06,-0.67,8.82,8.93,8.66,"10,990.00",8.99
176,NIFRA,213.50,-8.50,-3.83,218.00,223.00,213.40,"238,641.00",222.00
177,NIL,820.20,-9.80,-1.18,815.50,829.90,798.00,"11,334.00",830.00
178,NIMB,172.40,-2.80,-1.60,175.00,175.00,172.20,"123,456.00",175.20
179,NIMBPO,142.00,-1.00,-0.70,140.50,143.00,140.00,"6,396.00",143.00
180,NLBBL,550.10,-9.90,-1.77,551.30,571.20,550.00,"9,208.00",560.00
181,NLG,851.30,-17.70,-2.04,856.00,866.00,845.10,"31,906.00",869.00
182,NLIC,635.00,-18.00,-2.76,652.00,653.00,635.00,"82,347.00",653.00
183,NLICL,581.50,-11.90,-2.01,593.40,594.00,580.00,"16,720.00",593.40
184,NMB,195.50,-2.10,-1.06,197.00,198.50,195.10,"102,281.00",197.60
185,NMB50,9.29,0.01,0.11,9.46,9.64,9.29,"24,090.00",9.28
186,NMBD87/88,880.00,-2.00,-0.23,880.00,880.00,880.00,25.00,882.00
187,NMBMF,515.00,-4.00,-0.77,529.30,549.70,511.00,"1,965.00",519.00
188,NMBPO,113.00,-2.00,-1.74,113.00,113.00,113.00,"45,000.00",115.00
189,NMFBS,"1,080.00",-31.00,-2.79,"1,120.00","1,130.00","1,061.00","6,456.00","1,111.00"
190,NRIC,654.00,1.00,0.15,660.00,666.00,648.00,"51,165.00",653.00
191,NRM,415.80,-28.80,-6.49,443.80,443.80,413.00,"147,754.00",443.80
192,NRN,521.00,-9.00,-1.70,530.00,539.90,510.00,"299,893.00",530.00
193,NSIF2,9.05,0.14,1.57,9.00,9.10,8.92,"4,400.00",8.91
194,NTC,873.00,-30.00,-3.32,900.00,903.00,870.00,"64,380.00",903.00
195,NUBL,623.00,8.00,1.30,620.00,638.20,616.00,"31,231.00",615.00
196,NWCL,491.50,44.60,9.98,455.80,491.50,455.80,"2,290.00",446.90
197,NYADI,288.00,-6.00,-2.04,299.80,299.80,280.00,"23,562.00",294.00
198,OHL,787.00,-9.00,-1.13,796.00,796.00,773.00,"6,764.00",796.00
199,PBD88,"1,000.00",30.00,3.09,970.00,"1,000.00",970.00,185.00,970.00
200,PBLD87,858.40,-0.40,-0.05,875.00,875.90,858.40,140.00,858.80
201,PCBL,195.20,-2.80,-1.41,200.00,200.00,194.20,"72,631.00",198.00
202,PFL,360.00,0.00,0.00,355.10,365.00,355.10,"16,101.00",360.00
